State,StateAbbr,Name,Party,Inauguration,Title,office,officialTwitter,campaignTwitter,othertwitter
Kentucky,KY,Jacqueline Coleman,Democratic,2019-12-10,Lt. Governor,LtGov,LtGovColeman,JColemanKY,NA
Kentucky,KY,Michael Adams,Republican,2020-01-06,Secretary of State,SecState,KYSecState,NA,NA
Kentucky,KY,Daniel Cameron,Republican,2019-12-17,Attorney General,StateAG,kyoag,DanielCameronAG,djaycameron
Kentucky,KY,Allison Ball,Republican,2015-12-08,Treasurer,Treasurer,KYTreasurer,AllisonJoyBall,NA
Louisiana,LA,John Bel Edwards,Democratic,2016-01-11,Governor,Governor,LouisianaGov,JohnBelEdwards,NA
Louisiana,LA,Billy Nungesser,Republican,2016-01-11,Lt. Governor,LtGov,LouisianaLtGov,BillyNungesser,NA
Louisiana,LA,Kyle Ardoin,Republican,2018-05-01,Secretary of State,SecState,Louisiana_sos,NA,NA
Louisiana,LA,Jeff Landry,Republican,2016-01-11,Attorney General,StateAG,AGJeffLandry,JeffLandry,NA
Louisiana,LA,John Schroder,Republican,2017-11-18,Treasurer,Treasurer,LATreasury,JohnSchroderLA,NA
Maine,ME,Janet Mills,Democratic,2019-01-02,Governor,Governor,GovJanetMills,JanetMillsforME,NA
Maine,ME,Shenna Bellows,Democratic,2021-01-04,Secretary of State,SecState,shennabellows,NA,NA
Maine,ME,Aaron Frey,Democratic,2019-01-02,Attorney General,StateAG,NA,NA,NA
Maine,ME,Henry Beck,Democratic,2019-01-02,Treasurer,Treasurer,NA,HenryBeckMaine,NA
Maryland,MD,Larry Hogan,Republican,2015-01-21,Governor,Governor,GovLarryHogan,LarryHogan,NA
Maryland,MD,Boyd Rutherford,Republican,2015-01-21,Lt. Governor,LtGov,BoydKRutherford,NA,NA
Maryland,MD,John Wobensmith,Republican,2015-01-21,Secretary of State,SecState,sosmaryland,NA,NA
Maryland,MD,Brian Frosh,Democratic,2015-01-06,Attorney General,StateAG,NA,BrianFrosh,NA
Maryland,MD,Dereck Davis,Democratic,2021-12-17,Treasurer,Treasurer,NA,NA,NA
Massachusetts,MA,Charlie Baker,Republican,2015-01-08,Governor,Governor,MassGovernor,CharlieBakerMA,NA
Massachusetts,MA,Karyn Polito,Republican,2015-01-08,Lt. Governor,LtGov,MassLtGov,KarynPolito,NA
Massachusetts,MA,Bill Galvin,Democratic,1995-01-01,Secretary of the Commonwealth,SecState,SecretaryOfMass,BillGalvin4MA,NA
Massachusetts,MA,Maura Healey,Democratic,2015-01-21,Attorney General,StateAG,MassAGO,maura_healey,NA
